counts,director,genre,quote,rank,rating,runtime,title,url
410360人评价,中岛哲也,2010 / 日本 / 剧情 惊悚,没有一人完全善，也没有一人完全恶。,99,8.7,106分钟,告白,https://movie.douban.com/subject/4268598/
197695人评价,马克·赫尔曼,2008 / 英国 美国 / 剧情 战争,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,92,9.0,94 分钟,穿条纹睡衣的男孩,https://movie.douban.com/subject/3008247/
647278人评价,詹姆斯·卡梅隆,2009 / 美国 英国 / 动作 战争 科幻 冒险,绝对意义上的美轮美奂。,96,8.6,162分钟,阿凡达,https://movie.douban.com/subject/1652587/
388146人评价,李安,2005 / 美国 加拿大 / 剧情 爱情 同性 家庭,每个人心中都有一座断背山。,94,8.7,134分钟,断背山,https://movie.douban.com/subject/1418834/
390060人评价,詹姆斯·曼高德,2003 / 美国 / 剧情 悬疑 惊悚,最不可能的那个人永远是最可能的。,93,8.7,90分钟,致命ID,https://movie.douban.com/subject/1297192/
117221人评价,查理·卓别林,1936 / 美国 / 喜剧 剧情 爱情,大时代中的人生，小人物的悲喜。,97,9.2,87 分钟,摩登时代,https://movie.douban.com/subject/1294371/
404318人评价,王家卫,1994 / 香港 / 剧情 爱情,寂寞没有期限。,91,8.7,102分钟,重庆森林,https://movie.douban.com/subject/1291999/
185113人评价,杨德昌,2000 / 台湾 日本 / 剧情 爱情 家庭,我们都曾经是一一。,100,9.0,173分钟,一一,https://movie.douban.com/subject/1292434/
167683人评价,托马斯·温特伯格,2012 / 丹麦 瑞典 / 剧情,人言可畏。,90,9.1,115分钟,狩猎,https://movie.douban.com/subject/6985810/
432103人评价,戈尔·维宾斯基,2003 / 美国 / 动作 冒险 奇幻,约翰尼·德普的独角戏。,95,8.6,143 分钟,加勒比海盗,https://movie.douban.com/subject/1298070/
251811人评价,奉俊昊,2003 / 韩国 / 犯罪 剧情 悬疑 惊悚,关于连环杀人悬案的集体回忆。,121,8.7,130分钟,杀人回忆,https://movie.douban.com/subject/1300299/
259471人评价,米林宏昌,2010 / 日本 / 动画 奇幻 冒险,曾经的那段美好会沉淀为一辈子的记忆。,122,8.7,94分钟,借东西的小人阿莉埃蒂,https://movie.douban.com/subject/4202302/
242010人评价,卢卡·瓜达尼诺,2017 / 意大利 法国 巴西 美国 / 剧情 爱情 同性,沉醉在电影的情感和视听氛围中无法自拔。,124,8.8,132分钟,请以你的名字呼唤我,https://movie.douban.com/subject/26799731/
283446人评价,M·奈特·沙马兰,1999 / 美国 / 剧情 悬疑 惊悚,深入内心的恐怖，出人意料的结局。,89,8.8,107分钟,第六感,https://movie.douban.com/subject/1297630/
94399人评价,黑泽明,1954 / 日本 / 动作 冒险 剧情,时代悲歌。,123,9.2,160分钟(国际版),七武士,https://movie.douban.com/subject/1295399/
472422人评价,皮埃尔·柯芬,2010 / 美国 法国 / 喜剧 动画 冒险,Mr. I Don't Care其实也有Care的时候。,120,8.5,95分钟,神偷奶爸,https://movie.douban.com/subject/3287562/
267833人评价,史蒂文·斯皮尔伯格,2004 / 美国 / 喜剧 剧情 爱情,有时候幸福需要等一等。,119,8.7,128 分钟,幸福终点站,https://movie.douban.com/subject/1292274/
352879人评价,罗启锐,2010 / 香港 中国大陆 / 剧情 家庭,岁月流逝，来日可追。,125,8.6,117分钟,岁月神偷,https://movie.douban.com/subject/3792799/
210164人评价,宫崎骏,1984 / 日本 / 动画 奇幻 冒险,动画片的圣经。,112,8.8,117分钟,风之谷,https://movie.douban.com/subject/1291585/
